gender,age,remuneration,spending_score,loyalty_points,education,product
Female,34,49.2,42,1376,graduate,6770
Male,26,49.2,52,1461,postgraduate,6815
Female,45,49.2,47,1698,postgraduate,3427
Female,29,49.2,50,1503,postgraduate,3436
Male,46,50.02,42,1548,graduate,3478
Male,22,50.02,49,1248,PhD,3498
Female,25,50.84,41,1160,PhD,3524
Female,49,50.84,48,1809,graduate,3525
Male,69,50.84,59,1904,PhD,3547
Male,28,50.84,55,1673,PhD,3619
Male,49,50.84,56,2111,PhD,3629
Female,23,50.84,42,1122,postgraduate,6424
Female,68,51.66,50,1668,postgraduate,3165
Male,53,51.66,46,1756,PhD,9875
Male,70,51.66,43,1384,PhD,515
Male,68,51.66,48,1601,diploma,283
Male,67,51.66,52,1762,graduate,2285
Female,18,51.66,54,1222,graduate,2286
Female,38,52.48,42,1541,graduate,2296
Male,18,52.48,46,1057,graduate,2324
Female,17,53.3,48,1071,postgraduate,2326
Female,18,53.3,50,1167,graduate,2371
Female,65,53.3,43,1547,postgraduate,2387
Female,49,53.3,59,2332,postgraduate,2404
Female,50,54.94,43,1752,postgraduate,5429
Female,49,54.94,57,2322,graduate,5430
Male,29,54.94,56,1880,graduate,5453
Female,38,54.94,40,1536,graduate,5493
Female,38,56.58,58,2294,graduate,5510
Male,39,56.58,91,3634,graduate,5512
Female,25,57.4,29,926,graduate,8235
Female,33,57.4,77,2900,graduate,8275
Male,41,58.22,35,1463,graduate,2849
Male,38,58.22,95,3866,postgraduate,2870
Male,58,58.22,11,463,postgraduate,2874
Male,38,58.22,75,3052,graduate,2877
Male,45,58.22,9,385,graduate,2457
Male,39,58.22,75,3082,postgraduate,2495
Female,27,59.04,34,1174,graduate,2518
Female,33,59.04,71,2750,graduate,10196
Male,22,59.86,5,152,graduate,10232
Female,29,59.86,88,3218,graduate,10240
Female,42,59.86,7,303,PhD,10241
Male,34,59.86,73,2910,diploma,10270
Male,18,60.68,10,266,graduate,10281
Female,37,60.68,72,3022,graduate,4470
Female,56,61.5,5,225,diploma,4477
Male,34,61.5,93,3808,graduate,4491
Female,32,62.32,40,1609,graduate,2795
Female,34,62.32,87,3610,graduate,2807
Male,27,63.14,12,443,postgraduate,2811
Male,32,63.14,97,3954,Basic,7373
Male,46,63.14,36,1675,Basic,7381
Female,34,63.14,74,3111,PhD,7384
Female,36,63.96,22,962,postgraduate,7532
Male,36,63.96,90,3935,postgraduate,7533
Male,41,63.96,17,780,graduate,7573
Male,39,63.96,88,3973,graduate,7600
Female,42,63.96,20,925,PhD,4619
Female,38,63.96,76,3398,PhD,4673
Female,45,63.96,16,752,PhD,4692
Female,29,63.96,89,3478,postgraduate,4702
Male,39,63.96,1,45,postgraduate,4712
Female,32,63.96,78,3221,postgraduate,6271
Male,36,63.96,1,44,postgraduate,6287
Female,32,63.96,73,3015,graduate,6310
Female,55,64.78,35,1665,graduate,10995
Female,29,64.78,83,3285,graduate,11003
Male,18,66.42,5,145,graduate,11004
Female,33,66.42,93,4052,graduate,11025
Male,49,69.7,26,1344,Basic,11056
Female,38,69.7,75,3654,PhD,11084
Male,40,70.52,20,1004,PhD,11086
Female,35,70.52,95,4522,graduate,3153
Female,38,71.34,27,1347,diploma,3158
Male,34,71.34,63,2993,graduate,3267
Male,38,71.34,13,648,postgraduate,3277
Male,32,71.34,75,3455,diploma,5726
Male,38,71.34,10,499,graduate,5740
Male,38,71.34,92,4588,graduate,5758
Female,51,72.16,13,696,postgraduate,7042
Female,32,72.16,86,4007,postgraduate,7101
Male,57,72.16,15,787,graduate,7141
Male,29,72.16,69,3042,graduate,7143
Male,58,76.26,14,772,diploma,6431
Male,37,76.26,90,4747,graduate,6466
Female,39,79.54,32,1797,graduate,6471
Female,34,79.54,86,4555,Basic,6504
Male,44,80.36,15,881,PhD,6507
Female,29,80.36,88,4320,graduate,3403
Female,39,81.18,39,2235,PhD,4390
Male,32,81.18,97,5084,graduate,4399
Female,53,82.82,24,1469,postgraduate,4405
Male,32,82.82,68,3636,PhD,4415
Female,39,84.46,17,1014,graduate,3112
Female,38,84.46,85,5019,graduate,8923
Female,36,84.46,23,1328,PhD,8933
Female,34,84.46,69,3880,diploma,8962
Male,35,92.66,8,500,PhD,9064
Female,38,92.66,91,5895,graduate,9080
Female,45,98.4,16,1156,graduate,9119
Female,37,98.4,79,5377,PhD,9150
Female,43,103.32,28,2104,PhD,4047
Male,34,103.32,74,5091,graduate,4065
Male,34,112.34,18,1346,PhD,3711
Male,32,112.34,83,6020,PhD,453
Male,18,12.3,39,210,graduate,466
Male,23,12.3,81,524,graduate,254
Female,22,13.12,6,40,graduate,263
Female,25,13.12,77,562,graduate,291
Female,33,13.94,40,366,graduate,977
Female,24,13.94,76,573,PhD,979
Female,37,14.76,6,61,diploma,1012
Female,25,14.76,94,772,graduate,1031
Male,66,15.58,3,31,PhD,1459
Female,32,15.58,72,724,PhD,1463
Male,69,15.58,14,138,diploma,1473
Female,37,15.58,99,1067,postgraduate,1497
Female,57,16.4,15,179,PhD,1501
Female,26,16.4,77,721,graduate,1506
Male,39,16.4,13,150,graduate,123
Male,24,16.4,79,701,graduate,486
Female,37,17.22,35,417,graduate,830
Male,22,17.22,66,579,PhD,1175
Male,51,18.86,29,406,diploma,1183
Female,37,18.86,98,1278,postgraduate,1212
Male,37,19.68,35,476,postgraduate,1241
Male,27,19.68,73,840,postgraduate,1307
Female,44,20.5,5,75,postgraduate,535
Male,33,20.5,73,982,PhD,577
Female,53,22.96,14,238,graduate,618
Male,29,22.96,82,1150,postgraduate,624
Female,43,22.96,32,534,graduate,760
Male,37,22.96,61,969,graduate,231
Female,38,23.78,31,515,PhD,2139
Female,25,23.78,87,1151,graduate,2162
Male,62,24.6,4,69,PhD,2173
Female,23,24.6,73,944,graduate,2253
Male,52,27.06,4,80,PhD,2261
Male,17,27.06,92,1042,PhD,1940
Female,49,27.06,14,281,graduate,1945
Female,23,27.06,81,1152,PhD,1970
Female,40,27.88,17,338,diploma,2793
Female,32,27.88,73,1314,postgraduate,195
Female,38,30.34,26,551,PhD,107
Female,22,30.34,75,1159,graduate,811
Female,67,31.16,35,715,graduate,2814
Male,26,31.16,92,1637,PhD,2829
Male,46,31.98,36,849,diploma,629
Female,33,31.98,61,1280,graduate,3645
Female,49,31.98,28,664,diploma,3657
Female,26,31.98,65,1187,graduate,3667
Female,49,32.8,55,1338,graduate,3678
Female,29,32.8,47,942,postgraduate,2079
Female,29,32.8,42,842,graduate,2114
Female,33,32.8,42,904,graduate,2130
Female,49,34.44,52,1328,diploma,3865
Male,35,34.44,60,1395,postgraduate,3878
Female,33,35.26,54,1249,diploma,3885
Male,58,35.26,60,1529,graduate,3887
Female,49,35.26,45,1177,Basic,3896
Male,45,35.26,41,1062,graduate,3955
Female,50,36.08,50,1338,postgraduate,3967
Male,71,36.08,46,1014,PhD,405
Female,29,37.72,51,1175,graduate,615
Male,52,37.72,46,1285,graduate,876
Male,72,37.72,56,1264,postgraduate,4459
Male,18,37.72,55,909,postgraduate,999
Female,69,38.54,52,1272,PhD,815
Female,53,38.54,59,1681,postgraduate,326
Male,65,39.36,51,1355,postgraduate,6215
Male,19,39.36,59,1060,graduate,6233
Female,41,39.36,50,1413,postgraduate,978
Female,70,39.36,48,1177,diploma,9507
Male,18,39.36,59,1017,PhD,9529
Female,34,39.36,47,1232,PhD,9530
Male,72,40.18,55,1322,PhD,9560
Female,45,40.18,42,1239,diploma,9595
Female,62,41.0,49,1404,postgraduate,9596
Female,62,41.0,56,1605,graduate,9597
Male,58,44.28,47,1504,graduate,9612
Male,28,44.28,54,1430,graduate,9635
Female,43,44.28,53,1707,graduate,1577
Male,38,44.28,48,1486,PhD,1581
Female,25,44.28,52,1281,postgraduate,1592
Female,49,44.28,42,1379,graduate,1618
Male,56,44.28,51,1651,graduate,249
Male,38,44.28,55,1703,graduate,518
Male,69,44.28,41,1152,graduate,2521
Female,44,44.28,44,1424,PhD,930
Female,23,44.28,57,1326,graduate,399
Male,46,44.28,46,1501,diploma,504
Female,54,46.74,58,1998,diploma,948
Female,24,46.74,55,1391,graduate,4452
Female,36,47.56,60,1951,PhD,6646
Female,49,47.56,46,1622,graduate,6678
Female,70,48.38,55,1658,graduate,6694
Male,17,48.38,41,830,PhD,6715
Male,46,49.2,49,1777,graduate,6720
Female,38,49.2,40,1376,PhD,6721
Female,34,49.2,42,1376,graduate,6770
Male,26,49.2,52,1461,postgraduate,6815
Female,45,49.2,47,1698,postgraduate,3427
Female,29,49.2,50,1503,postgraduate,3436
Male,46,50.02,42,1548,graduate,3478
Male,22,50.02,49,1248,PhD,3498
Female,25,50.84,41,1160,PhD,3524
Female,49,50.84,48,1809,graduate,3525
Male,69,50.84,59,1904,PhD,3547
Male,28,50.84,55,1673,PhD,3619
Male,49,50.84,56,2111,PhD,3629
Female,23,50.84,42,1122,postgraduate,6424
Female,68,51.66,50,1668,postgraduate,3165
Male,53,51.66,46,1756,PhD,9875
Male,70,51.66,43,1384,PhD,515
Male,68,51.66,48,1601,diploma,283
Male,67,51.66,52,1762,graduate,2285
Female,18,51.66,54,1222,graduate,2286
Female,38,52.48,42,1541,graduate,2296
Male,18,52.48,46,1057,graduate,2324
Female,17,53.3,48,1071,postgraduate,2326
Female,18,53.3,50,1167,graduate,2371
Female,65,53.3,43,1547,postgraduate,2387
Female,49,53.3,59,2332,postgraduate,2404
Female,50,54.94,43,1752,postgraduate,5429
Female,49,54.94,57,2322,graduate,5430
Male,29,54.94,56,1880,graduate,5453
Female,38,54.94,40,1536,graduate,5493
Female,38,56.58,58,2294,graduate,5510
Male,39,56.58,91,3634,graduate,5512
Female,25,57.4,29,926,graduate,8235
Female,33,57.4,77,2900,graduate,8275
Male,41,58.22,35,1463,graduate,2849
Male,38,58.22,95,3866,postgraduate,2870
Male,58,58.22,11,463,postgraduate,2874
Male,38,58.22,75,3052,graduate,2877
Male,45,58.22,9,385,graduate,2457
Male,39,58.22,75,3082,postgraduate,2495
Female,27,59.04,34,1174,graduate,2518
Female,33,59.04,71,2750,graduate,10196
Male,22,59.86,5,152,graduate,10232
Female,29,59.86,88,3218,graduate,10240
Female,42,59.86,7,303,PhD,10241
Male,34,59.86,73,2910,diploma,10270
Male,18,60.68,10,266,graduate,10281
Female,37,60.68,72,3022,graduate,4470
Female,56,61.5,5,225,diploma,4477
Male,34,61.5,93,3808,graduate,4491
Female,32,62.32,40,1609,graduate,2795
Female,34,62.32,87,3610,graduate,2807
Male,27,63.14,12,443,postgraduate,2811
Male,32,63.14,97,3954,Basic,7373
Male,46,63.14,36,1675,Basic,7381
Female,34,63.14,74,3111,PhD,7384
Female,36,63.96,22,962,postgraduate,7532
Male,36,63.96,90,3935,postgraduate,7533
Male,41,63.96,17,780,graduate,7573
Male,39,63.96,88,3973,graduate,7600
Female,42,63.96,20,925,PhD,4619
Female,38,63.96,76,3398,PhD,4673
Female,45,63.96,16,752,PhD,4692
Female,29,63.96,89,3478,postgraduate,4702
Male,39,63.96,1,45,postgraduate,4712
Female,32,63.96,78,3221,postgraduate,6271
Male,36,63.96,1,44,postgraduate,6287
Female,32,63.96,73,3015,graduate,6310
Female,55,64.78,35,1665,graduate,10995
Female,29,64.78,83,3285,graduate,11003
Male,18,66.42,5,145,graduate,11004
Female,33,66.42,93,4052,graduate,11025
Male,49,69.7,26,1344,Basic,11056
Female,38,69.7,75,3654,PhD,11084
Male,40,70.52,20,1004,PhD,11086
Female,35,70.52,95,4522,graduate,3153
Female,38,71.34,27,1347,diploma,3158
Male,34,71.34,63,2993,graduate,3267
Male,38,71.34,13,648,postgraduate,3277
Male,32,71.34,75,3455,diploma,5726
Male,38,71.34,10,499,graduate,5740
Male,38,71.34,92,4588,graduate,5758
Female,51,72.16,13,696,postgraduate,7042
Female,32,72.16,86,4007,postgraduate,7101
Male,57,72.16,15,787,graduate,7141
Male,29,72.16,69,3042,graduate,7143
Male,58,76.26,14,772,diploma,6431
Male,37,76.26,90,4747,graduate,6466
Female,39,79.54,32,1797,graduate,6471
Female,34,79.54,86,4555,Basic,6504
Male,44,80.36,15,881,PhD,6507
Female,29,80.36,88,4320,graduate,3403
Female,39,81.18,39,2235,PhD,4390
Male,32,81.18,97,5084,graduate,4399
Female,53,82.82,24,1469,postgraduate,4405
Male,32,82.82,68,3636,PhD,4415
Female,39,84.46,17,1014,graduate,3112
Female,38,84.46,85,5019,graduate,8923
Female,36,84.46,23,1328,PhD,8933
Female,34,84.46,69,3880,diploma,8962
Male,35,92.66,8,500,PhD,9064
Female,38,92.66,91,5895,graduate,9080
Female,45,98.4,16,1156,graduate,9119
Female,37,98.4,79,5377,PhD,9150
Female,43,103.32,28,2104,PhD,4047
Male,34,103.32,74,5091,graduate,4065
Male,34,112.34,18,1346,PhD,3711
Male,32,112.34,83,6020,PhD,263
Male,18,12.3,39,210,graduate,291
Male,23,12.3,81,524,graduate,977
Female,22,13.12,6,40,graduate,979
Female,25,13.12,77,562,graduate,1012
Female,33,13.94,40,366,graduate,1031
Female,24,13.94,76,573,PhD,1459
Female,37,14.76,6,61,diploma,1463
Female,25,14.76,94,772,graduate,1473
Male,66,15.58,3,31,PhD,1497
Female,32,15.58,72,724,PhD,1501
Male,69,15.58,14,138,diploma,1506
Female,37,15.58,99,1067,postgraduate,123
Female,57,16.4,15,179,PhD,486
Female,26,16.4,77,721,graduate,830
Male,39,16.4,13,150,graduate,1175
Male,24,16.4,79,701,graduate,1183
Female,37,17.22,35,417,graduate,1212
Male,22,17.22,66,579,PhD,1241
Male,51,18.86,29,406,diploma,1307
Female,37,18.86,98,1278,postgraduate,535
Male,37,19.68,35,476,postgraduate,577
Male,27,19.68,73,840,postgraduate,618
Female,44,20.5,5,75,postgraduate,624
Male,33,20.5,73,982,PhD,760
Female,53,22.96,14,238,graduate,231
Male,29,22.96,82,1150,postgraduate,2139
Female,43,22.96,32,534,graduate,2162
Male,37,22.96,61,969,graduate,2173
Female,38,23.78,31,515,PhD,2253
Female,25,23.78,87,1151,graduate,2261
Male,62,24.6,4,69,PhD,1940
Female,23,24.6,73,944,graduate,1945
Male,52,27.06,4,80,PhD,1970
Male,17,27.06,92,1042,PhD,2793
Female,49,27.06,14,281,graduate,195
Female,23,27.06,81,1152,PhD,107
Female,40,27.88,17,338,diploma,811
Female,32,27.88,73,1314,postgraduate,2814
Female,38,30.34,26,551,PhD,2829
Female,22,30.34,75,1159,graduate,629
Female,67,31.16,35,715,graduate,3645
Male,26,31.16,92,1637,PhD,3657
Male,46,31.98,36,849,diploma,3667
Female,33,31.98,61,1280,graduate,3678
Female,49,31.98,28,664,diploma,2079
Female,26,31.98,65,1187,graduate,2114
Female,49,32.8,55,1338,graduate,2130
Female,29,32.8,47,942,postgraduate,3865
Female,29,32.8,42,842,graduate,3878
Female,33,32.8,42,904,graduate,3885
Female,49,34.44,52,1328,diploma,3887
Male,35,34.44,60,1395,postgraduate,3896
Female,33,35.26,54,1249,diploma,3955
Male,58,35.26,60,1529,graduate,3967
Female,49,35.26,45,1177,Basic,405
Male,45,35.26,41,1062,graduate,615
Female,50,36.08,50,1338,postgraduate,876
Male,71,36.08,46,1014,PhD,4459
Female,29,37.72,51,1175,graduate,999
Male,52,37.72,46,1285,graduate,815
Male,72,37.72,56,1264,postgraduate,326
Male,18,37.72,55,909,postgraduate,6215
Female,69,38.54,52,1272,PhD,6233
Female,53,38.54,59,1681,postgraduate,978
Male,65,39.36,51,1355,postgraduate,9507
Male,19,39.36,59,1060,graduate,9529
Female,41,39.36,50,1413,postgraduate,9530
Female,70,39.36,48,1177,diploma,9560
